gen_user,test_user,window_idx,anomaly_percentage
1,1,0,0.22
1,1,1,0.28
1,1,2,0.31
1,1,3,0.11
1,1,4,0.3
1,1,5,0.27
1,1,6,0.29
1,1,7,0.3
1,1,8,0.31
1,1,9,0.2
1,1,10,0.33
1,1,11,0.34
1,1,12,0.34
1,1,13,0.32
1,1,14,0.37
1,1,15,0.28
1,1,16,0.35
1,1,17,0.24
1,1,18,0.31
1,1,19,0.31
1,1,20,0.36
1,1,21,0.34
1,1,22,0.33
1,1,23,0.25
1,1,24,0.24
1,1,25,0.25
1,1,26,0.32
1,1,27,0.24
1,1,28,0.36
1,1,29,0.31
1,1,30,0.38
1,1,31,0.33
1,2,0,0.22
1,2,1,0.28
1,2,2,0.31
1,2,3,0.11
1,2,4,0.3
1,2,5,0.27
1,2,6,0.29
1,2,7,0.3
1,2,8,0.31
1,2,9,0.2
1,2,10,0.33
1,2,11,0.34
1,2,12,0.34
1,2,13,0.32
1,2,14,0.37
1,2,15,0.28
1,2,16,0.35
1,2,17,0.24
1,2,18,0.31
1,2,19,0.31
1,2,20,0.36
1,2,21,0.34
1,2,22,0.33
1,2,23,0.25
1,2,24,0.24
1,2,25,0.25
1,2,26,0.32
1,2,27,0.24
1,2,28,0.36
1,2,29,0.31
1,2,30,0.38
1,2,31,0.33
1,3,0,0.22
1,3,1,0.28
1,3,2,0.31
1,3,3,0.11
1,3,4,0.3
1,3,5,0.27
1,3,6,0.29
1,3,7,0.3
1,3,8,0.31
1,3,9,0.2
1,3,10,0.33
1,3,11,0.34
1,3,12,0.34
1,3,13,0.32
1,3,14,0.37
1,3,15,0.28
1,3,16,0.35
1,3,17,0.24
1,3,18,0.31
1,3,19,0.31
1,3,20,0.36
1,3,21,0.34
1,3,22,0.33
1,3,23,0.25
1,3,24,0.24
1,3,25,0.25
1,3,26,0.32
1,3,27,0.24
1,3,28,0.36
1,3,29,0.31
1,3,30,0.38
1,3,31,0.33
