gen_user,test_user,window_idx,anomaly_percentage
1,1,0,0.09
1,1,1,0.07
1,1,2,0.09
1,1,3,0.13
1,1,4,0.11
1,1,5,0.14
1,1,6,0.07
1,1,7,0.09
1,1,8,0.12
1,1,9,0.08
1,1,10,0.13
1,1,11,0.07
1,1,12,0.1
1,1,13,0.06
1,1,14,0.08
1,1,15,0.12
1,1,16,0.1
1,1,17,0.07
1,1,18,0.13
1,1,19,0.12
1,1,20,0.06
1,1,21,0.08
1,1,22,0.1
1,1,23,0.15
1,1,24,0.1
1,1,25,0.1
1,1,26,0.1
1,1,27,0.08
1,1,28,0.1
1,1,29,0.06
1,1,30,0.11
1,1,31,0.08
1,2,0,0.09
1,2,1,0.07
1,2,2,0.09
1,2,3,0.13
1,2,4,0.11
1,2,5,0.14
1,2,6,0.07
1,2,7,0.09
1,2,8,0.12
1,2,9,0.08
1,2,10,0.13
1,2,11,0.07
1,2,12,0.1
1,2,13,0.06
1,2,14,0.08
1,2,15,0.12
1,2,16,0.1
1,2,17,0.07
1,2,18,0.13
1,2,19,0.12
1,2,20,0.06
1,2,21,0.08
1,2,22,0.1
1,2,23,0.15
1,2,24,0.1
1,2,25,0.1
1,2,26,0.1
1,2,27,0.08
1,2,28,0.1
1,2,29,0.06
1,2,30,0.11
1,2,31,0.08
1,3,0,0.09
1,3,1,0.07
1,3,2,0.09
1,3,3,0.13
1,3,4,0.11
1,3,5,0.14
1,3,6,0.07
1,3,7,0.09
1,3,8,0.12
1,3,9,0.08
1,3,10,0.13
1,3,11,0.07
1,3,12,0.1
1,3,13,0.06
1,3,14,0.08
1,3,15,0.12
1,3,16,0.1
1,3,17,0.07
1,3,18,0.13
1,3,19,0.12
1,3,20,0.06
1,3,21,0.08
1,3,22,0.1
1,3,23,0.15
1,3,24,0.1
1,3,25,0.1
1,3,26,0.1
1,3,27,0.08
1,3,28,0.1
1,3,29,0.06
1,3,30,0.11
1,3,31,0.08
1,4,0,0.09
1,4,1,0.07
1,4,2,0.09
1,4,3,0.13
1,4,4,0.11
1,4,5,0.14
1,4,6,0.07
1,4,7,0.09
1,4,8,0.12
1,4,9,0.08
1,4,10,0.13
1,4,11,0.07
1,4,12,0.1
1,4,13,0.06
1,4,14,0.08
1,4,15,0.12
1,4,16,0.1
1,4,17,0.07
1,4,18,0.13
1,4,19,0.12
1,4,20,0.06
1,4,21,0.08
1,4,22,0.1
1,4,23,0.15
1,4,24,0.1
1,4,25,0.1
1,4,26,0.1
1,4,27,0.08
1,4,28,0.1
1,4,29,0.06
1,4,30,0.11
1,4,31,0.08
1,5,0,0.09
1,5,1,0.07
1,5,2,0.09
1,5,3,0.13
1,5,4,0.11
1,5,5,0.14
1,5,6,0.07
1,5,7,0.09
1,5,8,0.12
1,5,9,0.08
1,5,10,0.13
1,5,11,0.07
1,5,12,0.1
1,5,13,0.06
1,5,14,0.08
1,5,15,0.12
1,5,16,0.1
1,5,17,0.07
1,5,18,0.13
1,5,19,0.12
1,5,20,0.06
1,5,21,0.08
1,5,22,0.1
1,5,23,0.15
1,5,24,0.1
1,5,25,0.1
1,5,26,0.1
1,5,27,0.08
1,5,28,0.1
1,5,29,0.06
1,5,30,0.11
1,5,31,0.08
1,6,0,0.09
1,6,1,0.07
1,6,2,0.09
1,6,3,0.13
1,6,4,0.11
1,6,5,0.14
1,6,6,0.07
1,6,7,0.09
1,6,8,0.12
1,6,9,0.08
1,6,10,0.13
1,6,11,0.07
1,6,12,0.1
1,6,13,0.06
1,6,14,0.08
1,6,15,0.12
1,6,16,0.1
1,6,17,0.07
1,6,18,0.13
1,6,19,0.12
1,6,20,0.06
1,6,21,0.08
1,6,22,0.1
1,6,23,0.15
1,6,24,0.1
1,6,25,0.1
1,6,26,0.1
1,6,27,0.08
1,6,28,0.1
1,6,29,0.06
1,6,30,0.11
1,6,31,0.08
1,7,0,0.09
1,7,1,0.07
1,7,2,0.09
1,7,3,0.13
1,7,4,0.11
1,7,5,0.14
1,7,6,0.07
1,7,7,0.09
1,7,8,0.12
1,7,9,0.08
1,7,10,0.13
1,7,11,0.07
1,7,12,0.1
1,7,13,0.06
1,7,14,0.08
1,7,15,0.12
1,7,16,0.1
1,7,17,0.07
1,7,18,0.13
1,7,19,0.12
1,7,20,0.06
1,7,21,0.08
1,7,22,0.1
1,7,23,0.15
1,7,24,0.1
1,7,25,0.1
1,7,26,0.1
1,7,27,0.08
1,7,28,0.1
1,7,29,0.06
1,7,30,0.11
1,7,31,0.08
1,8,0,0.09
1,8,1,0.07
1,8,2,0.09
1,8,3,0.13
1,8,4,0.11
1,8,5,0.14
1,8,6,0.07
1,8,7,0.09
1,8,8,0.12
1,8,9,0.08
1,8,10,0.13
1,8,11,0.07
1,8,12,0.1
1,8,13,0.06
1,8,14,0.08
1,8,15,0.12
1,8,16,0.1
1,8,17,0.07
1,8,18,0.13
1,8,19,0.12
1,8,20,0.06
1,8,21,0.08
1,8,22,0.1
1,8,23,0.15
1,8,24,0.1
1,8,25,0.1
1,8,26,0.1
1,8,27,0.08
1,8,28,0.1
1,8,29,0.06
1,8,30,0.11
1,8,31,0.08
1,19,0,0.09
1,19,1,0.07
1,19,2,0.09
1,19,3,0.13
1,19,4,0.11
1,19,5,0.14
1,19,6,0.07
1,19,7,0.09
1,19,8,0.12
1,19,9,0.08
1,19,10,0.13
1,19,11,0.07
1,19,12,0.1
1,19,13,0.06
1,19,14,0.08
1,19,15,0.12
1,19,16,0.1
1,19,17,0.07
1,19,18,0.13
1,19,19,0.12
1,19,20,0.06
1,19,21,0.08
1,19,22,0.1
1,19,23,0.15
1,19,24,0.1
1,19,25,0.1
1,19,26,0.1
1,19,27,0.08
1,19,28,0.1
1,19,29,0.06
1,19,30,0.11
1,19,31,0.08
1,21,0,0.09
1,21,1,0.07
1,21,2,0.09
1,21,3,0.13
1,21,4,0.11
1,21,5,0.14
1,21,6,0.07
1,21,7,0.09
1,21,8,0.12
1,21,9,0.08
1,21,10,0.13
1,21,11,0.07
1,21,12,0.1
1,21,13,0.06
1,21,14,0.08
1,21,15,0.12
1,21,16,0.1
1,21,17,0.07
1,21,18,0.13
1,21,19,0.12
1,21,20,0.06
1,21,21,0.08
1,21,22,0.1
1,21,23,0.15
1,21,24,0.1
1,21,25,0.1
1,21,26,0.1
1,21,27,0.08
1,21,28,0.1
1,21,29,0.06
1,21,30,0.11
1,21,31,0.08
1,22,0,0.09
1,22,1,0.07
1,22,2,0.09
1,22,3,0.13
1,22,4,0.11
1,22,5,0.14
1,22,6,0.07
1,22,7,0.09
1,22,8,0.12
1,22,9,0.08
1,22,10,0.13
1,22,11,0.07
1,22,12,0.1
1,22,13,0.06
1,22,14,0.08
1,22,15,0.12
1,22,16,0.1
1,22,17,0.07
1,22,18,0.13
1,22,19,0.12
1,22,20,0.06
1,22,21,0.08
1,22,22,0.1
1,22,23,0.15
1,22,24,0.1
1,22,25,0.1
1,22,26,0.1
1,22,27,0.08
1,22,28,0.1
1,22,29,0.06
1,22,30,0.11
1,22,31,0.08
1,26,0,0.09
1,26,1,0.07
1,26,2,0.09
1,26,3,0.13
1,26,4,0.11
1,26,5,0.14
1,26,6,0.07
1,26,7,0.09
1,26,8,0.12
1,26,9,0.08
1,26,10,0.13
1,26,11,0.07
1,26,12,0.1
1,26,13,0.06
1,26,14,0.08
1,26,15,0.12
1,26,16,0.1
1,26,17,0.07
1,26,18,0.13
1,26,19,0.12
1,26,20,0.06
1,26,21,0.08
1,26,22,0.1
1,26,23,0.15
1,26,24,0.1
1,26,25,0.1
1,26,26,0.1
1,26,27,0.08
1,26,28,0.1
1,26,29,0.06
1,26,30,0.11
1,26,31,0.08
1,27,0,0.09
1,27,1,0.07
1,27,2,0.09
1,27,3,0.13
1,27,4,0.11
1,27,5,0.14
1,27,6,0.07
1,27,7,0.09
1,27,8,0.12
1,27,9,0.08
1,27,10,0.13
1,27,11,0.07
1,27,12,0.1
1,27,13,0.06
1,27,14,0.08
1,27,15,0.12
1,27,16,0.1
1,27,17,0.07
1,27,18,0.13
1,27,19,0.12
1,27,20,0.06
1,27,21,0.08
1,27,22,0.1
1,27,23,0.15
1,27,24,0.1
1,27,25,0.1
1,27,26,0.1
1,27,27,0.08
1,27,28,0.1
1,27,29,0.06
1,27,30,0.11
1,27,31,0.08
1,28,0,0.09
1,28,1,0.07
1,28,2,0.09
1,28,3,0.13
1,28,4,0.11
1,28,5,0.14
1,28,6,0.07
1,28,7,0.09
1,28,8,0.12
1,28,9,0.08
1,28,10,0.13
1,28,11,0.07
1,28,12,0.1
1,28,13,0.06
1,28,14,0.08
1,28,15,0.12
1,28,16,0.1
1,28,17,0.07
1,28,18,0.13
1,28,19,0.12
1,28,20,0.06
1,28,21,0.08
1,28,22,0.1
1,28,23,0.15
1,28,24,0.1
1,28,25,0.1
1,28,26,0.1
1,28,27,0.08
1,28,28,0.1
1,28,29,0.06
1,28,30,0.11
1,28,31,0.08
1,29,0,0.09
1,29,1,0.07
1,29,2,0.09
1,29,3,0.13
1,29,4,0.11
1,29,5,0.14
1,29,6,0.07
1,29,7,0.09
1,29,8,0.12
1,29,9,0.08
1,29,10,0.13
1,29,11,0.07
1,29,12,0.1
1,29,13,0.06
1,29,14,0.08
1,29,15,0.12
1,29,16,0.1
1,29,17,0.07
1,29,18,0.13
1,29,19,0.12
1,29,20,0.06
1,29,21,0.08
1,29,22,0.1
1,29,23,0.15
1,29,24,0.1
1,29,25,0.1
1,29,26,0.1
1,29,27,0.08
1,29,28,0.1
1,29,29,0.06
1,29,30,0.11
1,29,31,0.08
1,35,0,0.09
1,35,1,0.07
1,35,2,0.09
1,35,3,0.13
1,35,4,0.11
1,35,5,0.14
1,35,6,0.07
1,35,7,0.09
1,35,8,0.12
1,35,9,0.08
1,35,10,0.13
1,35,11,0.07
1,35,12,0.1
1,35,13,0.06
1,35,14,0.08
1,35,15,0.12
1,35,16,0.1
1,35,17,0.07
1,35,18,0.13
1,35,19,0.12
1,35,20,0.06
1,35,21,0.08
1,35,22,0.1
1,35,23,0.15
1,35,24,0.1
1,35,25,0.1
1,35,26,0.1
1,35,27,0.08
1,35,28,0.1
1,35,29,0.06
1,35,30,0.11
1,35,31,0.08
1,36,0,0.09
1,36,1,0.07
1,36,2,0.09
1,36,3,0.13
1,36,4,0.11
1,36,5,0.14
1,36,6,0.07
1,36,7,0.09
1,36,8,0.12
1,36,9,0.08
1,36,10,0.13
1,36,11,0.07
1,36,12,0.1
1,36,13,0.06
1,36,14,0.08
1,36,15,0.12
1,36,16,0.1
1,36,17,0.07
1,36,18,0.13
1,36,19,0.12
1,36,20,0.06
1,36,21,0.08
1,36,22,0.1
1,36,23,0.15
1,36,24,0.1
1,36,25,0.1
1,36,26,0.1
1,36,27,0.08
1,36,28,0.1
1,36,29,0.06
1,36,30,0.11
1,36,31,0.08
1,37,0,0.09
1,37,1,0.07
1,37,2,0.09
1,37,3,0.13
1,37,4,0.11
1,37,5,0.14
1,37,6,0.07
1,37,7,0.09
1,37,8,0.12
1,37,9,0.08
1,37,10,0.13
1,37,11,0.07
1,37,12,0.1
1,37,13,0.06
1,37,14,0.08
1,37,15,0.12
1,37,16,0.1
1,37,17,0.07
1,37,18,0.13
1,37,19,0.12
1,37,20,0.06
1,37,21,0.08
1,37,22,0.1
1,37,23,0.15
1,37,24,0.1
1,37,25,0.1
1,37,26,0.1
1,37,27,0.08
1,37,28,0.1
1,37,29,0.06
1,37,30,0.11
1,37,31,0.08
1,38,0,0.09
1,38,1,0.07
1,38,2,0.09
1,38,3,0.13
1,38,4,0.11
1,38,5,0.14
1,38,6,0.07
1,38,7,0.09
1,38,8,0.12
1,38,9,0.08
1,38,10,0.13
1,38,11,0.07
1,38,12,0.1
1,38,13,0.06
1,38,14,0.08
1,38,15,0.12
1,38,16,0.1
1,38,17,0.07
1,38,18,0.13
1,38,19,0.12
1,38,20,0.06
1,38,21,0.08
1,38,22,0.1
1,38,23,0.15
1,38,24,0.1
1,38,25,0.1
1,38,26,0.1
1,38,27,0.08
1,38,28,0.1
1,38,29,0.06
1,38,30,0.11
1,38,31,0.08
1,39,0,0.09
1,39,1,0.07
1,39,2,0.09
1,39,3,0.13
1,39,4,0.11
1,39,5,0.14
1,39,6,0.07
1,39,7,0.09
1,39,8,0.12
1,39,9,0.08
1,39,10,0.13
1,39,11,0.07
1,39,12,0.1
1,39,13,0.06
1,39,14,0.08
1,39,15,0.12
1,39,16,0.1
1,39,17,0.07
1,39,18,0.13
1,39,19,0.12
1,39,20,0.06
1,39,21,0.08
1,39,22,0.1
1,39,23,0.15
1,39,24,0.1
1,39,25,0.1
1,39,26,0.1
1,39,27,0.08
1,39,28,0.1
1,39,29,0.06
1,39,30,0.11
1,39,31,0.08
1,40,0,0.09
1,40,1,0.07
1,40,2,0.09
1,40,3,0.13
1,40,4,0.11
1,40,5,0.14
1,40,6,0.07
1,40,7,0.09
1,40,8,0.12
1,40,9,0.08
1,40,10,0.13
1,40,11,0.07
1,40,12,0.1
1,40,13,0.06
1,40,14,0.08
1,40,15,0.12
1,40,16,0.1
1,40,17,0.07
1,40,18,0.13
1,40,19,0.12
1,40,20,0.06
1,40,21,0.08
1,40,22,0.1
1,40,23,0.15
1,40,24,0.1
1,40,25,0.1
1,40,26,0.1
1,40,27,0.08
1,40,28,0.1
1,40,29,0.06
1,40,30,0.11
1,40,31,0.08
1,41,0,0.09
1,41,1,0.07
1,41,2,0.09
1,41,3,0.13
1,41,4,0.11
1,41,5,0.14
1,41,6,0.07
1,41,7,0.09
1,41,8,0.12
1,41,9,0.08
1,41,10,0.13
1,41,11,0.07
1,41,12,0.1
1,41,13,0.06
1,41,14,0.08
1,41,15,0.12
1,41,16,0.1
1,41,17,0.07
