x_a,y_a,z_a,x_g,y_g,z_g
-0.10292673,0.111201346,0.56633186,-0.033822145,0.06498113,0.026897928
-0.047076464,0.06525886,0.6715021,-0.0314253,0.076965354,0.020772656
-0.047076464,0.06525886,0.6715021,-0.029294772,0.088150635,0.013848438
-0.24758887,0.046165824,0.6210213,-0.025300032,0.09161274,0.0058589545
-0.24758887,0.046165824,0.6210213,-0.0127831735,0.08735169,0.0013315806
-0.17513943,-0.050596237,0.55785847,0.006924219,0.081226416,-0.0053263223
-0.17513943,-0.050596237,0.55785847,0.033289514,0.08735169,-0.014114754
-0.17513943,-0.050596237,0.55785847,0.06178534,0.10918961,-0.02130529
0.04088378,-0.07943404,0.41955853,0.092145376,0.123038046,-0.015180019
-0.57849765,0.13224995,0.29823208,0.11371698,0.10705908,0.0015978967
-0.57849765,0.13224995,0.29823208,0.118776985,0.056991648,0.0127831735
-0.57849765,0.13224995,0.29823208,0.1107875,0.00079894834,0.015978966
-0.5318985,0.15213001,0.20354462,0.09560748,-0.037284255,0.013582122
-0.5318985,0.15213001,0.20354462,0.08335695,-0.040213734,-0.008788432
0.37109208,0.13819283,0.07274628,0.08335695,-0.040213734,-0.008788432
0.37109208,0.13819283,0.07274628,0.06657903,-0.017044231,-0.05486112
0.37109208,0.13819283,0.07274628,0.047137953,0.019973708,-0.095074855
0.20256996,0.071899295,0.042262077,0.030360037,0.038615838,-0.12250541
-0.3854785,0.0037233233,0.13212013,0.018908445,0.030360037,-0.13928333
-0.3854785,0.0037233233,0.13212013,0.011984225,0.002396845,-0.14141385
-0.3854785,0.0037233233,0.13212013,0.006657903,-0.034088463,-0.1304949
-0.46992993,-0.009712398,0.111273766,0.002130529,-0.06977482,-0.11717909
-0.17143321,-0.022614062,0.13861942,-0.0002663161,-0.08868326,-0.1041296
-0.17143321,-0.022614062,0.13861942,-0.00479369,-0.095074855,-0.094009586
0.017959118,-0.013933241,0.20203304,-0.010652645,-0.088150635,-0.0892159
0.017959118,-0.013933241,0.20203304,-0.010652645,-0.088150635,-0.0892159
-0.070151806,0.05771357,0.24288177,-0.023169503,-0.052996907,-0.06578008
