gen_user,test_user,window_idx,anomaly_percentage
1,1,31,0.006
1,2,28,0.106
1,3,31,0.071
1,4,91,0.106
1,5,23,0.059
1,6,24,0.021
1,7,24,0.025
1,8,21,0.021
1,19,26,0.015
1,21,24,0.002
1,22,29,0.003
1,26,23,0.061
1,27,23,0.054
1,28,23,0.045
1,29,23,0.004
1,35,23,0.048
1,36,23,0.004
1,37,31,0.064
1,38,21,0.002
1,39,22,0.091
1,40,23,0.016
1,41,23,0.024
1,42,23,0.058
1,43,23,0.057
1,44,23,0.082
1,45,23,0.107
1,46,23,0.072
1,48,23,0.026
1,49,23,0.066
2,1,31,0.007
2,2,28,0.005
2,3,31,0.017
2,4,91,0.003
2,5,23,0.02
2,6,24,0.013
2,7,24,0.007
2,8,21,0.027
2,19,26,0.002
2,21,24,0.002
2,22,29,0.013
2,26,23,0.014
2,27,23,0.006
2,28,23,0.012
2,29,23,0.003
2,35,23,0.012
2,36,23,0.004
2,37,31,0.023
2,38,21,0.016
2,39,22,0.01
2,40,23,0.017
2,41,23,0.003
2,42,23,0.013
2,43,23,0.031
2,44,23,0.013
2,45,23,0.012
2,46,23,0.023
2,48,23,0.033
2,49,23,0.024
3,1,31,0.01
3,2,28,0.002
3,3,31,0.011
3,4,91,0.004
3,5,23,0.018
3,6,24,0.003
3,7,24,0.002
3,8,21,0.004
3,19,26,0.002
3,21,24,0.001
3,22,29,0.008
3,26,23,0.008
3,27,23,0.002
3,28,23,0.004
3,29,23,0.003
3,35,23,0.01
3,36,23,0.004
3,37,31,0.026
3,38,21,0.002
3,39,22,0.001
3,40,23,0.025
3,41,23,0.016
3,42,23,0.004
3,43,23,0.003
3,44,23,0.004
3,45,23,0.004
3,46,23,0.006
3,48,23,0.005
3,49,23,0.005
4,1,31,0.043
4,2,28,0.005
4,3,31,0.004
4,4,91,0.131
4,5,23,0.067
4,6,24,0.147
4,7,24,0.13
4,8,21,0.029
4,19,26,0.007
4,21,24,0.025
4,22,29,0.055
4,26,23,0.126
4,27,23,0.095
4,28,23,0.029
4,29,23,0.003
4,35,23,0.139
4,36,23,0.043
4,37,31,0.246
4,38,21,0.006
4,39,22,0.031
4,40,23,0.141
4,41,23,0.182
4,42,23,0.142
4,43,23,0.093
4,44,23,0.118
4,45,23,0.1
4,46,23,0.171
4,48,23,0.154
4,49,23,0.133
5,1,31,0.021
5,2,28,0.005
5,3,31,0.007
5,4,91,0.027
5,5,23,0.059
5,6,24,0.024
5,7,24,0.01
5,8,21,0.008
5,19,26,0.004
5,21,24,0.005
5,22,29,0.005
5,26,23,0.02
5,27,23,0.02
5,28,23,0.014
5,29,23,0.011
5,35,23,0.034
5,36,23,0.003
5,37,31,0.016
5,38,21,0.004
5,39,22,0.016
5,40,23,0.024
5,41,23,0.069
5,42,23,0.033
5,43,23,0.019
5,44,23,0.013
5,45,23,0.009
5,46,23,0.02
5,48,23,0.025
5,49,23,0.057
6,1,31,0.014
6,2,28,0.004
6,3,31,0.004
6,4,91,0.056
6,5,23,0.005
6,6,24,0.016
6,7,24,0.006
6,8,21,0.004
6,19,26,0.006
6,21,24,0.001
6,22,29,0.018
6,26,23,0.022
6,27,23,0.029
6,28,23,0.02
6,29,23,0.008
6,35,23,0.02
6,36,23,0.011
6,37,31,0.034
6,38,21,0.002
6,39,22,0.006
6,40,23,0.023
6,41,23,0.005
6,42,23,0.047
6,43,23,0.006
6,44,23,0.008
6,45,23,0.01
6,46,23,0.004
6,48,23,0.014
6,49,23,0.024
7,1,31,0.007
7,2,28,0.009
7,3,31,0.003
7,4,91,0.01
7,5,23,0.009
7,6,24,0.013
7,7,24,0.005
7,8,21,0.009
7,19,26,0.008
7,21,24,0.012
7,22,29,0.004
7,26,23,0.012
7,27,23,0.01
7,28,23,0.014
7,29,23,0.003
7,35,23,0.013
7,36,23,0.003
7,37,31,0.009
7,38,21,0.002
7,39,22,0.012
7,40,23,0.012
7,41,23,0.006
7,42,23,0.008
7,43,23,0.006
7,44,23,0.015
7,45,23,0.007
7,46,23,0.01
7,48,23,0.012
7,49,23,0.007
8,1,31,0.099
8,2,28,0.081
8,3,31,0.008
8,4,91,0.063
8,5,23,0.095
8,6,24,0.132
8,7,24,0.046
8,8,21,0.087
8,19,26,0.073
8,21,24,0.065
8,22,29,0.043
8,26,23,0.08
8,27,23,0.118
8,28,23,0.134
8,29,23,0.017
8,35,23,0.024
8,36,23,0.058
8,37,31,0.098
8,38,21,0.007
8,39,22,0.088
8,40,23,0.13
8,41,23,0.081
8,42,23,0.09
8,43,23,0.051
8,44,23,0.076
8,45,23,0.084
8,46,23,0.067
8,48,23,0.071
8,49,23,0.037
19,1,31,0.004
19,2,28,0.003
19,3,31,0.004
19,4,91,0.004
19,5,23,0.004
19,6,24,0.003
19,7,24,0.04
19,8,21,0.004
19,19,26,0.003
19,21,24,0.051
19,22,29,0.006
19,26,23,0.004
19,27,23,0.003
19,28,23,0.003
19,29,23,0.005
19,35,23,0.004
19,36,23,0.009
19,37,31,0.004
19,38,21,0.003
19,39,22,0.004
19,40,23,0.004
19,41,23,0.006
19,42,23,0.004
19,43,23,0.005
19,44,23,0.008
19,45,23,0.004
19,46,23,0.006
19,48,23,0.004
19,49,23,0.007
21,1,31,0.013
21,2,28,0.054
21,3,31,0.014
21,4,91,0.005
21,5,23,0.043
21,6,24,0.051
21,7,24,0.049
21,8,21,0.004
21,19,26,0.004
21,21,24,0.052
21,22,29,0.006
21,26,23,0.03
21,27,23,0.054
21,28,23,0.017
21,29,23,0.014
21,35,23,0.049
21,36,23,0.039
21,37,31,0.025
21,38,21,0.012
21,39,22,0.054
21,40,23,0.006
21,41,23,0.057
21,42,23,0.052
21,43,23,0.045
21,44,23,0.041
21,45,23,0.018
21,46,23,0.005
21,48,23,0.011
21,49,23,0.004
22,1,31,0.012
22,2,28,0.005
22,3,31,0.026
22,4,91,0.035
22,5,23,0.023
22,6,24,0.007
22,7,24,0.013
22,8,21,0.016
22,19,26,0.018
22,21,24,0.002
22,22,29,0.012
22,26,23,0.073
22,27,23,0.065
22,28,23,0.072
22,29,23,0.004
22,35,23,0.018
22,36,23,0.049
22,37,31,0.017
22,38,21,0.021
22,39,22,0.054
22,40,23,0.015
22,41,23,0.007
22,42,23,0.012
22,43,23,0.011
22,44,23,0.094
22,45,23,0.032
22,46,23,0.085
22,48,23,0.069
22,49,23,0.01
26,1,31,0.036
26,2,28,0.011
26,3,31,0.003
26,4,91,0.016
26,5,23,0.022
26,6,24,0.047
26,7,24,0.007
26,8,21,0.002
26,19,26,0.004
26,21,24,0.006
26,22,29,0.002
26,26,23,0.037
26,27,23,0.024
26,28,23,0.01
26,29,23,0.004
26,35,23,0.032
26,36,23,0.004
26,37,31,0.019
26,38,21,0.004
26,39,22,0.034
26,40,23,0.027
26,41,23,0.016
26,42,23,0.012
26,43,23,0.026
26,44,23,0.012
26,45,23,0.031
26,46,23,0.023
26,48,23,0.024
26,49,23,0.003
27,1,31,0.101
27,2,28,0.216
27,3,31,0.155
27,4,91,0.117
27,5,23,0.039
27,6,24,0.172
27,7,24,0.171
27,8,21,0.068
27,19,26,0.059
27,21,24,0.198
27,22,29,0.145
27,26,23,0.086
27,27,23,0.065
27,28,23,0.193
27,29,23,0.019
27,35,23,0.178
27,36,23,0.237
27,37,31,0.063
27,38,21,0.142
27,39,22,0.134
27,40,23,0.061
27,41,23,0.229
27,42,23,0.188
27,43,23,0.143
27,44,23,0.211
27,45,23,0.177
27,46,23,0.181
27,48,23,0.081
27,49,23,0.073
28,1,31,0.089
28,2,28,0.067
28,3,31,0.008
28,4,91,0.068
28,5,23,0.083
28,6,24,0.077
28,7,24,0.046
28,8,21,0.043
28,19,26,0.005
28,21,24,0.002
28,22,29,0.007
28,26,23,0.082
28,27,23,0.066
28,28,23,0.064
28,29,23,0.013
28,35,23,0.078
28,36,23,0.005
28,37,31,0.078
28,38,21,0.01
28,39,22,0.079
28,40,23,0.08
28,41,23,0.081
28,42,23,0.059
28,43,23,0.077
28,44,23,0.057
28,45,23,0.04
28,46,23,0.072
28,48,23,0.068
28,49,23,0.07
29,1,31,0.02
29,2,28,0.019
29,3,31,0.009
29,4,91,0.022
29,5,23,0.022
29,6,24,0.024
29,7,24,0.011
29,8,21,0.007
29,19,26,0.018
29,21,24,0.004
29,22,29,0.013
29,26,23,0.013
29,27,23,0.01
29,28,23,0.019
29,29,23,0.008
29,35,23,0.03
29,36,23,0.006
29,37,31,0.026
29,38,21,0.007
29,39,22,0.029
29,40,23,0.017
29,41,23,0.035
29,42,23,0.024
29,43,23,0.018
29,44,23,0.011
29,45,23,0.018
29,46,23,0.009
29,48,23,0.02
29,49,23,0.016
35,1,31,0.026
35,2,28,0.01
35,3,31,0.019
35,4,91,0.041
35,5,23,0.012
35,6,24,0.029
35,7,24,0.005
35,8,21,0.005
35,19,26,0.006
35,21,24,0.015
35,22,29,0.004
35,26,23,0.037
35,27,23,0.05
35,28,23,0.041
35,29,23,0.003
35,35,23,0.042
35,36,23,0.026
35,37,31,0.053
35,38,21,0.003
35,39,22,0.028
35,40,23,0.025
35,41,23,0.006
35,42,23,0.017
35,43,23,0.02
35,44,23,0.053
35,45,23,0.043
35,46,23,0.013
35,48,23,0.022
35,49,23,0.021
36,1,31,0.015
36,2,28,0.037
36,3,31,0.003
36,4,91,0.009
36,5,23,0.002
36,6,24,0.007
36,7,24,0.006
36,8,21,0.004
36,19,26,0.006
36,21,24,0.019
36,22,29,0.004
36,26,23,0.035
36,27,23,0.006
36,28,23,0.003
36,29,23,0.004
36,35,23,0.009
36,36,23,0.005
36,37,31,0.003
36,38,21,0.003
36,39,22,0.009
36,40,23,0.004
36,41,23,0.015
36,42,23,0.004
36,43,23,0.003
36,44,23,0.018
36,45,23,0.022
36,46,23,0.006
36,48,23,0.007
36,49,23,0.004
37,1,31,0.013
37,2,28,0.002
37,3,31,0.005
37,4,91,0.103
37,5,23,0.01
37,6,24,0.083
37,7,24,0.003
37,8,21,0.002
37,19,26,0.008
37,21,24,0.001
37,22,29,0.004
37,26,23,0.029
37,27,23,0.014
37,28,23,0.072
37,29,23,0.004
37,35,23,0.062
37,36,23,0.002
37,37,31,0.03
37,38,21,0.001
37,39,22,0.04
37,40,23,0.064
37,41,23,0.005
37,42,23,0.028
37,43,23,0.058
37,44,23,0.007
37,45,23,0.002
37,46,23,0.077
37,48,23,0.079
37,49,23,0.069
38,1,31,0.004
38,2,28,0.002
38,3,31,0.021
38,4,91,0.017
38,5,23,0.007
38,6,24,0.007
38,7,24,0.014
38,8,21,0.002
38,19,26,0.014
38,21,24,0.002
38,22,29,0.009
38,26,23,0.035
38,27,23,0.003
38,28,23,0.006
38,29,23,0.003
38,35,23,0.025
38,36,23,0.002
38,37,31,0.016
38,38,21,0.005
38,39,22,0.004
38,40,23,0.01
38,41,23,0.003
38,42,23,0.006
38,43,23,0.062
38,44,23,0.02
38,45,23,0.008
38,46,23,0.01
38,48,23,0.04
38,49,23,0.009
39,1,31,0.004
39,2,28,0.002
39,3,31,0.006
39,4,91,0.002
39,5,23,0.004
39,6,24,0.014
39,7,24,0.001
39,8,21,0.009
39,19,26,0.003
39,21,24,0.002
39,22,29,0.005
39,26,23,0.003
39,27,23,0.003
39,28,23,0.002
39,29,23,0.004
39,35,23,0.023
39,36,23,0.002
39,37,31,0.006
39,38,21,0.002
39,39,22,0.004
39,40,23,0.003
39,41,23,0.004
39,42,23,0.003
39,43,23,0.002
39,44,23,0.003
39,45,23,0.006
39,46,23,0.002
39,48,23,0.002
39,49,23,0.007
40,1,31,0.009
40,2,28,0.031
40,3,31,0.005
40,4,91,0.03
40,5,23,0.023
40,6,24,0.065
40,7,24,0.046
40,8,21,0.009
40,19,26,0.008
40,21,24,0.003
40,22,29,0.013
40,26,23,0.142
40,27,23,0.11
40,28,23,0.062
40,29,23,0.003
40,35,23,0.086
40,36,23,0.002
40,37,31,0.009
40,38,21,0.002
40,39,22,0.062
40,40,23,0.074
40,41,23,0.13
40,42,23,0.061
40,43,23,0.026
40,44,23,0.033
40,45,23,0.004
40,46,23,0.075
40,48,23,0.04
40,49,23,0.06
41,1,31,0.014
41,2,28,0.01
41,3,31,0.014
41,4,91,0.025
41,5,23,0.005
41,6,24,0.014
41,7,24,0.002
41,8,21,0.015
41,19,26,0.003
41,21,24,0.014
41,22,29,0.023
41,26,23,0.007
41,27,23,0.061
41,28,23,0.006
41,29,23,0.004
41,35,23,0.013
41,36,23,0.005
41,37,31,0.014
41,38,21,0.003
41,39,22,0.033
41,40,23,0.025
41,41,23,0.02
41,42,23,0.029
41,43,23,0.004
41,44,23,0.021
41,45,23,0.018
41,46,23,0.007
41,48,23,0.026
41,49,23,0.003
42,1,31,0.094
42,2,28,0.151
42,3,31,0.031
42,4,91,0.076
42,5,23,0.077
42,6,24,0.057
42,7,24,0.044
42,8,21,0.098
42,19,26,0.111
42,21,24,0.084
42,22,29,0.057
42,26,23,0.128
42,27,23,0.074
42,28,23,0.062
42,29,23,0.015
42,35,23,0.047
42,36,23,0.121
42,37,31,0.075
42,38,21,0.05
42,39,22,0.149
42,40,23,0.12
42,41,23,0.1
42,42,23,0.039
42,43,23,0.07
42,44,23,0.11
42,45,23,0.054
42,46,23,0.054
42,48,23,0.056
42,49,23,0.053
43,1,31,0.038
43,2,28,0.036
43,3,31,0.018
43,4,91,0.026
43,5,23,0.023
43,6,24,0.034
43,7,24,0.037
43,8,21,0.036
43,19,26,0.054
43,21,24,0.042
43,22,29,0.028
43,26,23,0.032
43,27,23,0.035
43,28,23,0.038
43,29,23,0.008
43,35,23,0.031
43,36,23,0.014
43,37,31,0.032
43,38,21,0.022
43,39,22,0.045
43,40,23,0.034
43,41,23,0.057
43,42,23,0.029
43,43,23,0.033
43,44,23,0.021
43,45,23,0.044
43,46,23,0.036
43,48,23,0.031
43,49,23,0.024
44,1,31,0.004
44,2,28,0.003
44,3,31,0.003
44,4,91,0.008
44,5,23,0.003
44,6,24,0.003
44,7,24,0.003
44,8,21,0.004
44,19,26,0.003
44,21,24,0.003
44,22,29,0.004
44,26,23,0.003
44,27,23,0.004
44,28,23,0.006
44,29,23,0.002
44,35,23,0.002
44,36,23,0.005
44,37,31,0.003
44,38,21,0.004
44,39,22,0.002
44,40,23,0.004
44,41,23,0.003
44,42,23,0.003
44,43,23,0.002
44,44,23,0.009
44,45,23,0.003
44,46,23,0.006
44,48,23,0.003
44,49,23,0.003
45,1,31,0.021
45,2,28,0.012
45,3,31,0.012
45,4,91,0.035
45,5,23,0.009
45,6,24,0.01
45,7,24,0.036
45,8,21,0.01
45,19,26,0.009
45,21,24,0.002
45,22,29,0.012
45,26,23,0.047
45,27,23,0.039
45,28,23,0.003
45,29,23,0.005
45,35,23,0.028
45,36,23,0.002
45,37,31,0.019
45,38,21,0.008
45,39,22,0.014
45,40,23,0.013
45,41,23,0.009
45,42,23,0.024
45,43,23,0.087
45,44,23,0.024
45,45,23,0.042
45,46,23,0.01
45,48,23,0.008
45,49,23,0.022
46,1,31,0.006
46,2,28,0.01
46,3,31,0.025
46,4,91,0.004
