gen_user,test_user,window_idx,anomaly_percentage
1,1,0,0.29281
1,1,1,0.1693
1,1,2,0.4085
1,1,3,0.40913
1,1,4,0.42091
1,1,5,0.31702
1,1,6,0.44117
1,1,7,0.27668
1,1,8,0.27457
1,1,9,0.38575
1,1,10,0.37898
1,1,11,0.25902
1,1,12,0.34658
1,1,13,0.34113
1,1,14,0.41343
1,1,15,0.33547
1,1,16,0.40444
1,1,17,0.34083
1,1,18,0.42479
1,1,19,0.31163
1,1,20,0.37561
1,1,21,0.21969
1,1,22,0.40835
1,1,23,0.24062
1,1,24,0.34961
1,1,25,0.32017
1,1,26,0.26833
1,1,27,0.43253
1,1,28,0.31298
1,1,29,0.42982
1,1,30,0.34665
1,1,31,0.22228
1,2,0,0.17126
1,2,1,0.17851
1,2,2,0.1855
1,2,3,0.2504
1,2,4,0.2669
1,2,5,0.36908
1,2,6,0.48664
1,2,7,0.25883
1,2,8,0.44809
1,2,9,0.52641
1,2,10,0.44442
1,2,11,0.49204
1,2,12,0.37724
1,2,13,0.2416
1,2,14,0.2273
1,2,15,0.36609
1,2,16,0.47436
1,2,17,0.43583
1,2,18,0.44664
1,2,19,0.41175
1,2,20,0.28802
1,2,21,0.48961
1,2,22,0.32241
1,2,23,0.38959
1,2,24,0.33035
1,2,25,0.39045
1,2,26,0.41354
1,2,27,0.36033
1,2,28,0.40998
1,3,0,0.20911
1,3,1,0.26077
1,3,2,0.40936
1,3,3,0.4159
1,3,4,0.46679
1,3,5,0.26122
1,3,6,0.47272
1,3,7,0.46052
1,3,8,0.45591
1,3,9,0.51249
1,3,10,0.45489
1,3,11,0.47437
1,3,12,0.29024
1,3,13,0.51171
1,3,14,0.42882
1,3,15,0.45707
1,3,16,0.46867
1,3,17,0.44529
1,3,18,0.46239
1,3,19,0.33355
1,3,20,0.47598
1,3,21,0.44447
1,3,22,0.4195
1,3,23,0.47695
1,3,24,0.46662
1,3,25,0.45499
1,3,26,0.47067
1,3,27,0.4741
1,3,28,0.47187
1,3,29,0.46788
1,3,30,0.45041
1,3,31,0.37171
1,4,0,0.42043
1,4,1,0.10523
1,4,2,0.35296
1,4,3,0.39207
1,4,4,0.45116
1,4,5,0.43086
1,4,6,0.23568
1,4,7,0.30584
1,4,8,0.43759
1,4,9,0.45102
1,4,10,0.43935
1,4,11,0.43981
1,4,12,0.45222
1,4,13,0.41921
1,4,14,0.29906
1,4,15,0.4404
1,4,16,0.38224
1,4,17,0.42265
1,4,18,0.4869
1,4,19,0.2843
1,4,20,0.26885
1,4,21,0.31057
1,4,22,0.49621
1,4,23,0.32147
1,4,24,0.34175
1,4,25,0.3306
1,4,26,0.43486
1,4,27,0.29873
1,4,28,0.36584
1,4,29,0.29279
1,4,30,0.22251
1,4,31,0.5028
1,4,32,0.44011
1,4,33,0.43827
1,4,34,0.43017
1,4,35,0.44893
1,4,36,0.47918
1,4,37,0.45291
1,4,38,0.43258
1,4,39,0.25699
1,4,40,0.42808
1,4,41,0.44797
1,4,42,0.43666
1,4,43,0.46448
1,4,44,0.45478
1,4,45,0.43216
1,4,46,0.45782
1,4,47,0.46211
1,4,48,0.44279
1,4,49,0.44798
1,4,50,0.43001
1,4,51,0.38663
1,4,52,0.28573
1,4,53,0.43256
1,4,54,0.29992
1,4,55,0.44833
1,4,56,0.43372
1,4,57,0.43684
1,4,58,0.43882
1,4,59,0.44879
1,4,60,0.43567
1,4,61,0.41829
1,4,62,0.47314
1,4,63,0.22536
1,4,64,0.44523
1,4,65,0.41749
1,4,66,0.44439
1,4,67,0.45008
1,4,68,0.41096
1,4,69,0.468
1,4,70,0.44545
1,4,71,0.45771
1,4,72,0.44152
1,4,73,0.37222
1,4,74,0.45897
1,4,75,0.44545
1,4,76,0.29677
1,4,77,0.36897
1,4,78,0.34093
1,4,79,0.28533
1,4,80,0.46455
1,4,81,0.29295
1,4,82,0.44076
1,4,83,0.35417
1,4,84,0.50437
1,4,85,0.43307
1,4,86,0.45189
1,4,87,0.42788
1,4,88,0.44368
1,4,89,0.39586
1,4,90,0.24182
1,4,91,0.44822
1,5,0,0.12828
1,5,1,0.35732
1,5,2,0.22015
1,5,3,0.28396
1,5,4,0.26314
1,5,5,0.44824
1,5,6,0.47419
1,5,7,0.46772
1,5,8,0.4172
1,5,9,0.37335
1,5,10,0.28695
1,5,11,0.43778
1,5,12,0.33179
1,5,13,0.45255
1,5,14,0.32824
1,5,15,0.39606
1,5,16,0.45614
1,5,17,0.30264
1,5,18,0.45372
1,5,19,0.46527
1,5,20,0.45291
1,5,21,0.26707
1,5,22,0.21993
1,5,23,0.46658
1,6,0,0.21616
1,6,1,0.37317
1,6,2,0.39099
1,6,3,0.25558
1,6,4,0.42473
1,6,5,0.35162
1,6,6,0.42661
1,6,7,0.44278
1,6,8,0.31158
1,6,9,0.29551
1,6,10,0.43703
1,6,11,0.3149
1,6,12,0.44303
1,6,13,0.34446
1,6,14,0.26239
1,6,15,0.39167
1,6,16,0.44268
1,6,17,0.28703
1,6,18,0.28415
1,6,19,0.44397
1,6,20,0.43748
1,6,21,0.43995
1,6,22,0.37538
1,6,23,0.39433
1,6,24,0.42801
1,7,0,0.174
1,7,1,0.2097
1,7,2,0.20197
1,7,3,0.29225
1,7,4,0.27213
1,7,5,0.40081
1,7,6,0.31275
1,7,7,0.28424
1,7,8,0.48283
1,7,9,0.35652
1,7,10,0.4308
1,7,11,0.45814
1,7,12,0.26951
1,7,13,0.46935
1,7,14,0.2596
1,7,15,0.33446
1,7,16,0.38181
1,7,17,0.34433
1,7,18,0.41318
1,7,19,0.31227
1,7,20,0.25994
1,7,21,0.39214
1,7,22,0.24019
1,7,23,0.30344
1,7,24,0.43536
1,8,0,0.12852
1,8,1,0.30563
1,8,2,0.29696
1,8,3,0.21096
1,8,4,0.27645
1,8,5,0.25175
1,8,6,0.17951
1,8,7,0.33789
1,8,8,0.21413
1,8,9,0.14844
1,8,10,0.30328
1,8,11,0.17518
1,8,12,0.24542
1,8,13,0.21274
1,8,14,0.33185
1,8,15,0.23842
1,8,16,0.15882
1,8,17,0.18369
1,8,18,0.23076
1,8,19,0.14823
1,8,20,0.12966
1,8,21,0.21567
1,19,0,0.05706
1,19,1,0.27776
1,19,2,0.23409
1,19,3,0.27983
1,19,4,0.21692
1,19,5,0.19261
1,19,6,0.22984
1,19,7,0.2214
1,19,8,0.37983
1,19,9,0.33266
1,19,10,0.31396
1,19,11,0.29335
1,19,12,0.16331
1,19,13,0.32051
1,19,14,0.32699
1,19,15,0.3254
1,19,16,0.31929
1,19,17,0.4549
1,19,18,0.28686
1,19,19,0.35535
1,19,20,0.41126
1,19,21,0.3721
1,19,22,0.3348
1,19,23,0.18872
1,19,24,0.15394
1,19,25,0.16072
1,19,26,0.29456
1,21,0,0.16715
1,21,1,0.17461
1,21,2,0.25124
1,21,3,0.24592
1,21,4,0.19074
1,21,5,0.17739
1,21,6,0.26928
1,21,7,0.33894
1,21,8,0.25122
1,21,9,0.28366
1,21,10,0.22912
1,21,11,0.25979
1,21,12,0.27133
1,21,13,0.30169
1,21,14,0.26836
1,21,15,0.44953
1,21,16,0.26621
1,21,17,0.30222
1,21,18,0.22847
1,21,19,0.23187
1,21,20,0.43147
1,21,21,0.43191
1,21,22,0.43251
1,21,23,0.30506
1,21,24,0.25453
1,22,0,0.31725
1,22,1,0.23573
1,22,2,0.28949
1,22,3,0.192
1,22,4,0.37063
1,22,5,0.24416
1,22,6,0.18509
1,22,7,0.26644
1,22,8,0.32158
1,22,9,0.18925
1,22,10,0.48489
1,22,11,0.4667
1,22,12,0.36156
1,22,13,0.45476
1,22,14,0.42519
1,22,15,0.42232
1,22,16,0.25688
1,22,17,0.33716
1,22,18,0.16464
1,22,19,0.29732
1,22,20,0.42327
1,22,21,0.40434
1,22,22,0.32658
1,22,23,0.49039
1,22,24,0.3602
1,22,25,0.20757
1,22,26,0.25898
1,22,27,0.48354
1,22,28,0.45614
1,22,29,0.29761
1,26,0,0.32756
1,26,1,0.17599
1,26,2,0.28036
1,26,3,0.4584
1,26,4,0.40499
1,26,5,0.40519
1,26,6,0.5051
1,26,7,0.47844
1,26,8,0.48382
1,26,9,0.50353
1,26,10,0.51204
1,26,11,0.46158
1,26,12,0.48414
1,26,13,0.44874
1,26,14,0.45307
1,26,15,0.44684
1,26,16,0.48999
1,26,17,0.4767
1,26,18,0.44194
1,26,19,0.46791
1,26,20,0.50013
1,26,21,0.47643
1,26,22,0.48557
1,26,23,0.48383
1,27,0,0.0863
1,27,1,0.19698
1,27,2,0.35867
1,27,3,0.2639
1,27,4,0.21795
1,27,5,0.30428
1,27,6,0.20027
1,27,7,0.1815
1,27,8,0.33748
1,27,9,0.20166
1,27,10,0.24824
1,27,11,0.48808
1,27,12,0.26752
1,27,13,0.48466
1,27,14,0.20152
1,27,15,0.33625
1,27,16,0.37473
1,27,17,0.46279
1,27,18,0.4224
1,27,19,0.45886
1,27,20,0.34842
1,27,21,0.47379
1,27,22,0.43182
1,27,23,0.41265
1,28,0,0.2217
1,28,1,0.37324
1,28,2,0.22781
1,28,3,0.39204
1,28,4,0.30427
1,28,5,0.34901
1,28,6,0.28465
1,28,7,0.36296
1,28,8,0.33533
1,28,9,0.30178
1,28,10,0.4402
1,28,11,0.44
1,28,12,0.42236
1,28,13,0.31589
1,28,14,0.32646
1,28,15,0.4429
1,28,16,0.44094
1,28,17,0.30724
1,28,18,0.28936
1,28,19,0.32262
1,28,20,0.42984
1,28,21,0.33483
1,28,22,0.42367
1,28,23,0.44956
1,29,0,0.10956
1,29,1,0.30964
1,29,2,0.36865
1,29,3,0.37794
1,29,4,0.38979
1,29,5,0.27062
1,29,6,0.46461
1,29,7,0.25454
1,29,8,0.44407
1,29,9,0.40645
1,29,10,0.42419
1,29,11,0.2975
1,29,12,0.46485
1,29,13,0.47142
1,29,14,0.48591
1,29,15,0.43238
1,29,16,0.4545
1,29,17,0.41224
1,29,18,0.41169
1,29,19,0.47358
1,29,20,0.4524
1,29,21,0.4398
1,29,22,0.42518
1,29,23,0.24267
1,35,0,0.34247
1,35,1,0.17498
1,35,2,0.42393
1,35,3,0.40514
1,35,4,0.27944
1,35,5,0.39703
1,35,6,0.40346
1,35,7,0.36409
1,35,8,0.2662
1,35,9,0.28773
1,35,10,0.29968
1,35,11,0.45213
1,35,12,0.29295
1,35,13,0.30337
1,35,14,0.46714
1,35,15,0.47524
1,35,16,0.38476
1,35,17,0.3349
1,35,18,0.4671
1,35,19,0.29069
1,35,20,0.31925
1,35,21,0.271
1,35,22,0.44298
1,35,23,0.43785
1,36,0,0.16929
1,36,1,0.13138
1,36,2,0.20452
1,36,3,0.13802
1,36,4,0.16457
1,36,5,0.24164
1,36,6,0.3507
1,36,7,0.33932
1,36,8,0.27173
1,36,9,0.272
1,36,10,0.2113
1,36,11,0.21155
1,36,12,0.29227
1,36,13,0.34086
1,36,14,0.25319
1,36,15,0.29137
1,36,16,0.2878
1,36,17,0.32726
1,36,18,0.2303
1,36,19,0.20456
1,36,20,0.2155
1,36,21,0.21634
1,36,22,0.22879
1,36,23,0.18053
1,37,0,0.16663
1,37,1,0.36216
1,37,2,0.21879
1,37,3,0.2934
1,37,4,0.1463
1,37,5,0.21042
1,37,6,0.24691
1,37,7,0.32663
1,37,8,0.35237
1,37,9,0.36737
1,37,10,0.36796
1,37,11,0.39904
1,37,12,0.36964
1,37,13,0.35956
1,37,14,0.36697
1,37,15,0.37399
1,37,16,0.36708
1,37,17,0.37249
1,37,18,0.38181
1,37,19,0.37931
1,37,20,0.43565
1,37,21,0.37537
1,37,22,0.38837
1,37,23,0.36869
1,37,24,0.3512
1,37,25,0.36494
1,37,26,0.37745
1,37,27,0.37209
1,37,28,0.38913
1,37,29,0.37809
1,37,30,0.3353
1,37,31,0.37067
1,38,0,0.15669
1,38,1,0.20238
1,38,2,0.29324
1,38,3,0.32966
