gen_user,test_user,window_idx,anomaly_percentage
1,1,0,0.11521
1,1,1,0.13275
1,1,2,0.0855
1,1,3,0.07775
1,1,4,0.09234
1,1,5,0.11738
1,1,6,0.16319
1,1,7,0.10894
1,1,8,0.10888
1,1,9,0.12378
1,1,10,0.12092
1,1,11,0.09373
1,1,12,0.09928
1,1,13,0.14948
1,1,14,0.10835
1,1,15,0.12992
1,1,16,0.16826
1,1,17,0.12906
1,1,18,0.10019
1,1,19,0.06875
1,1,20,0.09364
1,1,21,0.09961
1,1,22,0.0724
1,1,23,0.06336
1,1,24,0.10505
1,1,25,0.13405
1,1,26,0.07586
1,1,27,0.12064
1,1,28,0.126
1,1,29,0.13392
1,1,30,0.13265
1,1,31,0.21058
1,2,0,0.11521
1,2,1,0.13275
1,2,2,0.0855
1,2,3,0.07775
1,2,4,0.09234
1,2,5,0.11738
1,2,6,0.16319
1,2,7,0.10894
1,2,8,0.10888
1,2,9,0.12378
1,2,10,0.12092
1,2,11,0.09373
1,2,12,0.09928
1,2,13,0.14948
1,2,14,0.10835
1,2,15,0.12992
1,2,16,0.16826
1,2,17,0.12906
1,2,18,0.10019
1,2,19,0.06875
1,2,20,0.09364
1,2,21,0.09961
1,2,22,0.0724
1,2,23,0.06336
1,2,24,0.10505
1,2,25,0.13405
1,2,26,0.07586
1,2,27,0.12064
1,2,28,0.126
1,2,29,0.13392
1,2,30,0.13265
1,2,31,0.21058
