gen_user,test_user,window_idx,anomaly_percentage
1,1,0,0.11521
1,1,1,0.13275
1,1,2,0.0855
1,1,3,0.07775
1,1,4,0.09234
1,1,5,0.11738
1,1,6,0.16319
1,1,7,0.10894
1,1,8,0.10888
1,1,9,0.12378
1,1,10,0.12092
1,1,11,0.09373
1,1,12,0.09928
1,1,13,0.14948
1,1,14,0.10835
1,1,15,0.12992
1,1,16,0.16826
1,1,17,0.12906
1,1,18,0.10019
1,1,19,0.06875
1,1,20,0.09364
1,1,21,0.09961
1,1,22,0.0724
1,1,23,0.06336
1,1,24,0.10505
1,1,25,0.13405
1,1,26,0.07586
1,1,27,0.12064
1,1,28,0.126
1,1,29,0.13392
1,1,30,0.13265
1,1,31,0.21058
1,2,0,0.11521
1,2,1,0.13275
1,2,2,0.0855
1,2,3,0.07775
1,2,4,0.09234
1,2,5,0.11738
1,2,6,0.16319
1,2,7,0.10894
1,2,8,0.10888
1,2,9,0.12378
1,2,10,0.12092
1,2,11,0.09373
1,2,12,0.09928
1,2,13,0.14948
1,2,14,0.10835
1,2,15,0.12992
1,2,16,0.16826
1,2,17,0.12906
1,2,18,0.10019
1,2,19,0.06875
1,2,20,0.09364
1,2,21,0.09961
1,2,22,0.0724
1,2,23,0.06336
1,2,24,0.10505
1,2,25,0.13405
1,2,26,0.07586
1,2,27,0.12064
1,2,28,0.126
1,2,29,0.13392
1,2,30,0.13265
1,2,31,0.21058
1,3,0,0.11521
1,3,1,0.13275
1,3,2,0.0855
1,3,3,0.07775
1,3,4,0.09234
1,3,5,0.11738
1,3,6,0.16319
1,3,7,0.10894
1,3,8,0.10888
1,3,9,0.12378
1,3,10,0.12092
1,3,11,0.09373
1,3,12,0.09928
1,3,13,0.14948
1,3,14,0.10835
1,3,15,0.12992
1,3,16,0.16826
1,3,17,0.12906
1,3,18,0.10019
1,3,19,0.06875
1,3,20,0.09364
1,3,21,0.09961
1,3,22,0.0724
1,3,23,0.06336
1,3,24,0.10505
1,3,25,0.13405
1,3,26,0.07586
1,3,27,0.12064
1,3,28,0.126
1,3,29,0.13392
1,3,30,0.13265
1,3,31,0.21058
1,4,0,0.11521
1,4,1,0.13275
1,4,2,0.0855
1,4,3,0.07775
1,4,4,0.09234
1,4,5,0.11738
1,4,6,0.16319
1,4,7,0.10894
1,4,8,0.10888
1,4,9,0.12378
1,4,10,0.12092
1,4,11,0.09373
1,4,12,0.09928
1,4,13,0.14948
1,4,14,0.10835
1,4,15,0.12992
1,4,16,0.16826
1,4,17,0.12906
1,4,18,0.10019
1,4,19,0.06875
1,4,20,0.09364
1,4,21,0.09961
1,4,22,0.0724
1,4,23,0.06336
1,4,24,0.10505
1,4,25,0.13405
1,4,26,0.07586
1,4,27,0.12064
1,4,28,0.126
1,4,29,0.13392
1,4,30,0.13265
1,4,31,0.21058
1,5,0,0.11521
1,5,1,0.13275
1,5,2,0.0855
1,5,3,0.07775
1,5,4,0.09234
1,5,5,0.11738
1,5,6,0.16319
1,5,7,0.10894
1,5,8,0.10888
1,5,9,0.12378
1,5,10,0.12092
1,5,11,0.09373
1,5,12,0.09928
1,5,13,0.14948
1,5,14,0.10835
1,5,15,0.12992
1,5,16,0.16826
1,5,17,0.12906
1,5,18,0.10019
1,5,19,0.06875
1,5,20,0.09364
1,5,21,0.09961
1,5,22,0.0724
1,5,23,0.06336
1,5,24,0.10505
1,5,25,0.13405
1,5,26,0.07586
1,5,27,0.12064
1,5,28,0.126
1,5,29,0.13392
1,5,30,0.13265
1,5,31,0.21058
1,6,0,0.11521
1,6,1,0.13275
1,6,2,0.0855
1,6,3,0.07775
1,6,4,0.09234
1,6,5,0.11738
1,6,6,0.16319
1,6,7,0.10894
1,6,8,0.10888
1,6,9,0.12378
1,6,10,0.12092
1,6,11,0.09373
1,6,12,0.09928
1,6,13,0.14948
1,6,14,0.10835
1,6,15,0.12992
1,6,16,0.16826
1,6,17,0.12906
1,6,18,0.10019
1,6,19,0.06875
1,6,20,0.09364
1,6,21,0.09961
1,6,22,0.0724
1,6,23,0.06336
1,6,24,0.10505
1,6,25,0.13405
1,6,26,0.07586
1,6,27,0.12064
1,6,28,0.126
1,6,29,0.13392
1,6,30,0.13265
1,6,31,0.21058
1,7,0,0.11521
1,7,1,0.13275
1,7,2,0.0855
1,7,3,0.07775
1,7,4,0.09234
1,7,5,0.11738
1,7,6,0.16319
1,7,7,0.10894
1,7,8,0.10888
1,7,9,0.12378
1,7,10,0.12092
1,7,11,0.09373
1,7,12,0.09928
1,7,13,0.14948
1,7,14,0.10835
1,7,15,0.12992
1,7,16,0.16826
1,7,17,0.12906
1,7,18,0.10019
1,7,19,0.06875
1,7,20,0.09364
1,7,21,0.09961
1,7,22,0.0724
1,7,23,0.06336
1,7,24,0.10505
1,7,25,0.13405
1,7,26,0.07586
1,7,27,0.12064
1,7,28,0.126
1,7,29,0.13392
1,7,30,0.13265
1,7,31,0.21058
1,8,0,0.11521
1,8,1,0.13275
1,8,2,0.0855
1,8,3,0.07775
1,8,4,0.09234
1,8,5,0.11738
1,8,6,0.16319
1,8,7,0.10894
1,8,8,0.10888
1,8,9,0.12378
1,8,10,0.12092
1,8,11,0.09373
1,8,12,0.09928
1,8,13,0.14948
1,8,14,0.10835
1,8,15,0.12992
1,8,16,0.16826
1,8,17,0.12906
1,8,18,0.10019
1,8,19,0.06875
1,8,20,0.09364
1,8,21,0.09961
1,8,22,0.0724
1,8,23,0.06336
1,8,24,0.10505
1,8,25,0.13405
1,8,26,0.07586
1,8,27,0.12064
1,8,28,0.126
1,8,29,0.13392
1,8,30,0.13265
1,8,31,0.21058
1,19,0,0.11521
1,19,1,0.13275
1,19,2,0.0855
1,19,3,0.07775
1,19,4,0.09234
1,19,5,0.11738
1,19,6,0.16319
1,19,7,0.10894
1,19,8,0.10888
1,19,9,0.12378
1,19,10,0.12092
1,19,11,0.09373
1,19,12,0.09928
1,19,13,0.14948
1,19,14,0.10835
1,19,15,0.12992
1,19,16,0.16826
1,19,17,0.12906
1,19,18,0.10019
1,19,19,0.06875
1,19,20,0.09364
1,19,21,0.09961
1,19,22,0.0724
1,19,23,0.06336
1,19,24,0.10505
1,19,25,0.13405
1,19,26,0.07586
1,19,27,0.12064
1,19,28,0.126
1,19,29,0.13392
1,19,30,0.13265
1,19,31,0.21058
1,21,0,0.11521
1,21,1,0.13275
1,21,2,0.0855
1,21,3,0.07775
1,21,4,0.09234
1,21,5,0.11738
1,21,6,0.16319
1,21,7,0.10894
1,21,8,0.10888
1,21,9,0.12378
1,21,10,0.12092
1,21,11,0.09373
1,21,12,0.09928
1,21,13,0.14948
1,21,14,0.10835
1,21,15,0.12992
1,21,16,0.16826
1,21,17,0.12906
1,21,18,0.10019
1,21,19,0.06875
1,21,20,0.09364
1,21,21,0.09961
1,21,22,0.0724
1,21,23,0.06336
1,21,24,0.10505
1,21,25,0.13405
1,21,26,0.07586
1,21,27,0.12064
1,21,28,0.126
1,21,29,0.13392
1,21,30,0.13265
1,21,31,0.21058
1,22,0,0.11521
1,22,1,0.13275
1,22,2,0.0855
1,22,3,0.07775
1,22,4,0.09234
1,22,5,0.11738
1,22,6,0.16319
1,22,7,0.10894
1,22,8,0.10888
1,22,9,0.12378
1,22,10,0.12092
1,22,11,0.09373
1,22,12,0.09928
1,22,13,0.14948
1,22,14,0.10835
1,22,15,0.12992
1,22,16,0.16826
1,22,17,0.12906
1,22,18,0.10019
1,22,19,0.06875
1,22,20,0.09364
1,22,21,0.09961
1,22,22,0.0724
1,22,23,0.06336
1,22,24,0.10505
1,22,25,0.13405
1,22,26,0.07586
1,22,27,0.12064
1,22,28,0.126
1,22,29,0.13392
1,22,30,0.13265
1,22,31,0.21058
1,26,0,0.11521
1,26,1,0.13275
1,26,2,0.0855
1,26,3,0.07775
1,26,4,0.09234
1,26,5,0.11738
1,26,6,0.16319
1,26,7,0.10894
1,26,8,0.10888
1,26,9,0.12378
